	AW5@DS02b2-#2-15deg	AW5@DS02b2-#2-20deg	AW5@DS02b2-#2-25deg	AW5@DS02b2-#2-27deg	AW5@DS02b2-#2-29deg	AW5@DS02b2-#2-31deg	AW5@DS02b2-#2-33deg	AW5@DS02b2-#2-35deg	AW5@DS02b2-#2-40deg	AW5@DS02b2-#2-45deg	AW5@DS02b2-#2-50deg	AW5@DS02b2-#2-55deg	AW5@DS02b2-#2-60deg
	15	20	25	27	29	31	33	35	40	45	50	55	60
190	3.53271818161	3.568676948547	3.596690654755	3.53626537323	3.329526901245	3.798829555511	3.264272689819	3.600997447968	3.443984031677	3.437382698059	3.94616317749	3.471095561981	3.528716564178
191	3.401606559753	3.601509094238	3.231399059296	3.718605995178	3.552768230438	3.249267578125	3.453341960907	4.000349998474	3.380925178528	3.83279132843	3.959578990936	3.91019487381	3.525890350342
192	3.42107963562	3.280446052551	3.201639175415	3.528764247894	3.872547626495	3.423346042633	3.979568958282	3.995568752289	3.836596488953	3.874898433685	4.000334739685	3.910439968109	3.993656158447
193	3.696363925934	3.623810768127	3.517092227936	3.576508045197	3.304580211639	3.624157428741	4.000283241272	3.920850276947	3.97858953476	4.000283241272	3.719880104065	3.436163902283	3.801180839539
194	3.509250640869	3.526027202606	3.612040996552	3.353360652924	3.465710639954	3.581592082977	3.988076686859	3.702551841736	3.99658203125	4.000186920166	3.763904094696	3.703967571259	3.975018501282
195	3.378087997437	3.661980628967	3.831398487091	3.445722579956	3.948338985443	3.636921405792	4.000175476074	3.694843769073	3.781386852264	3.904294013977	4.000175476074	4.000175476074	4.000175476074
196	3.756927013397	3.814311504364	3.774677753448	3.818884372711	3.692711830139	3.744219779968	3.74641752243	3.582884311676	3.624314308167	3.936730384827	3.9870262146	3.627414703369	3.986357212067
197	3.701002597809	3.420826435089	3.372347354889	3.698027133942	3.439977169037	3.472663402557	3.531135559082	3.843532085419	3.838240623474	4.000146389008	4.000146389008	3.801151752472	4.000146389008
198	3.338140487671	3.57333612442	3.523048877716	3.468166351318	3.40550994873	3.309860706329	3.811573028564	4.000114917755	3.978396892548	3.996497631073	4.000114440918	4.000114917755	3.743267536163
199	3.478390216827	3.703036785126	3.558187484741	3.49721622467	3.584585666656	3.424837112427	4.000130176544	3.991578578949	4.000130176544	4.000130176544	4.000129699707	3.989022731781	3.879225254059
200	3.405019283295	3.499342441559	3.86420249939	3.353734016418	3.548356056213	3.488785266876	3.829037666321	4.00014257431	3.984030723572	4.000142097473	4.000142097473	4.00014257431	4.00014257431
201	3.763276100159	3.858884334564	4.000144004822	3.792075634003	3.70759344101	3.956596374512	3.936065196991	4.000143527985	3.916628837585	4.000143527985	4.000144004822	4.000144004822	3.993211746216
